Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,2022-12-01T21:11:46.717000Z,2022-12-01T21:23:39.415000Z,2022-12-02T04:23:37.530000,2022-12-01T21:23:39.790932Z,713,C96TNGEC,219,"Polish, English",20,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,2022-12-01T21:11:46.958000Z,2022-12-01T21:25:52.282000Z,2022-12-02T04:23:37.622000,2022-12-01T21:25:52.605995Z,846,C96TNGEC,442,"Italian, French, English",32,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
APPROVED,2022-12-01T21:11:47.219000Z,2022-12-01T21:36:01.960000Z,2022-12-02T04:23:37.712000,2022-12-01T21:36:02.499316Z,1455,C96TNGEC,168,"English, Greek",22,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,Other
APPROVED,2022-12-01T21:13:24.022000Z,2022-12-01T21:28:55.651000Z,2022-12-02T04:23:37.809000,2022-12-01T21:28:56.106488Z,932,C96TNGEC,178,"Spanish, English",29,Male,White,Mexico,Mexico,Mexico,English,No,Full-Time
APPROVED,2022-12-01T21:11:48.858000Z,2022-12-01T21:26:53.336000Z,2022-12-02T04:23:37.904000,2022-12-01T21:26:53.719253Z,905,C96TNGEC,124,"Polish, English",25,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
APPROVED,2022-12-01T21:11:48.064000Z,2022-12-01T21:23:55.627000Z,2022-12-02T04:23:38.004000,2022-12-01T21:23:56.000462Z,728,C96TNGEC,193,"Polish, English",22,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
APPROVED,2022-12-01T21:11:48.262000Z,2022-12-01T21:30:54.210000Z,2022-12-02T04:23:38.103000,2022-12-01T21:30:54.598183Z,1146,C96TNGEC,398,"English, Portuguese, Spanish",35,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,2022-12-01T21:14:46.239000Z,2022-12-01T21:27:14.802000Z,2022-12-02T04:23:38.203000,2022-12-01T21:27:15.185676Z,749,C96TNGEC,533,"Polish, English",23,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
APPROVED,2022-12-01T21:12:04.091000Z,2022-12-01T21:29:42.613000Z,2022-12-02T04:23:38.305000,2022-12-01T21:29:43.001493Z,1059,C96TNGEC,104,English,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,2022-12-01T21:11:50.163000Z,2022-12-01T21:25:20.130000Z,2022-12-02T04:23:38.406000,2022-12-01T21:25:20.452811Z,810,C96TNGEC,326,"English, Swedish",32,Female,White,Sweden,Sweden,Sweden,Finnish,No,Full-Time
APPROVED,2022-12-01T21:11:52.711000Z,2022-12-01T21:38:46.363000Z,2022-12-02T04:23:38.516000,2022-12-01T21:38:46.693423Z,1614,C96TNGEC,303,"English, Swedish",32,Male,White,Sweden,Sweden,Sweden,Swedish,No,Full-Time
APPROVED,2022-12-01T21:11:55.323000Z,2022-12-01T21:25:48.634000Z,2022-12-02T04:23:38.624000,2022-12-01T21:25:49.277300Z,834,C96TNGEC,167,"Polish, English, German",22,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
APPROVED,2022-12-01T21:11:50.995000Z,2022-12-01T21:36:28.520000Z,2022-12-02T04:23:38.724000,2022-12-01T21:36:28.970084Z,1478,C96TNGEC,358,"Portuguese, English",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
APPROVED,2022-12-01T21:11:59.309000Z,2022-12-01T21:29:33.437000Z,2022-12-02T04:23:38.822000,2022-12-01T21:29:33.850097Z,1055,C96TNGEC,374,"English, Hungarian",27,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Other
APPROVED,2022-12-01T21:22:00.439000Z,2022-12-01T21:35:23.567000Z,2022-12-02T04:23:38.915000,2022-12-01T21:35:23.940467Z,804,C96TNGEC,448,"Polish, English, German",48,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,2022-12-01T21:22:47.650000Z,2022-12-01T21:50:15.275000Z,2022-12-02T04:23:39.012000,2022-12-01T21:50:15.784379Z,1648,C96TNGEC,777,"English, French, Hebrew, Russian",44,Female,White,Belarus,Israel,Israel,Russian,Yes,Full-Time
APPROVED,2022-12-02T21:37:21.956000Z,2022-12-02T21:49:50.548000Z,2022-12-02T22:40:02.695000,2022-12-02T21:49:51.045292Z,749,C96TNGEC,85,"English, Hungarian",22,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
