participant_id,block,trial_index,win,state2_color,trial_index_global,stage,choice
514,1,30,1,blue,30,1,2
514,1,30,1,blue,30,2,2
514,1,31,0,blue,31,1,1
514,1,31,0,blue,31,2,1
514,1,32,0,pink,32,1,2
514,1,32,0,pink,32,2,2
514,2,1,0,blue,33,1,1
514,2,1,0,blue,33,2,1
514,2,2,0,blue,34,1,2
514,2,2,0,blue,34,2,2
514,2,3,0,pink,35,1,2
514,2,3,0,pink,35,2,2
514,2,4,0,pink,36,1,1
514,2,4,0,pink,36,2,1
514,2,5,0,blue,37,1,2
514,2,5,0,blue,37,2,2
514,2,6,1,blue,38,1,2
514,2,6,1,blue,38,2,1
514,2,7,0,blue,39,1,2
514,2,7,0,blue,39,2,2
514,2,8,0,pink,40,1,1
514,2,8,0,pink,40,2,2
514,2,9,0,blue,41,1,1
514,2,9,0,blue,41,2,2
514,2,10,0,pink,42,1,2
514,2,10,0,pink,42,2,2
514,2,11,0,pink,43,1,1
514,2,11,0,pink,43,2,1
514,2,12,1,blue,44,1,1
514,2,12,1,blue,44,2,1
514,2,13,0,pink,45,1,2
514,2,13,0,pink,45,2,2
514,2,14,0,blue,46,1,2
514,2,14,0,blue,46,2,2
514,2,15,0,pink,47,1,1
514,2,15,0,pink,47,2,2
514,2,16,1,blue,48,1,2
514,2,16,1,blue,48,2,2
514,2,17,1,blue,49,1,2
514,2,17,1,blue,49,2,2
514,2,18,0,blue,50,1,2
514,2,18,0,blue,50,2,2
514,2,19,0,blue,51,1,1
514,2,19,0,blue,51,2,1
514,2,20,1,blue,52,1,2
514,2,20,1,blue,52,2,1
514,2,21,1,pink,53,1,1
514,2,21,1,pink,53,2,1
514,2,22,0,pink,54,1,1
514,2,22,0,pink,54,2,1
514,2,24,0,pink,55,1,1
514,2,24,0,pink,55,2,2
514,2,25,1,blue,56,1,1
514,2,25,1,blue,56,2,1
514,2,26,1,pink,57,1,1
514,2,26,1,pink,57,2,2
514,2,27,1,pink,58,1,2
514,2,27,1,pink,58,2,2
514,2,29,1,pink,59,1,1
514,2,29,1,pink,59,2,1
514,2,30,0,blue,60,1,2
514,2,30,0,blue,60,2,1
514,2,31,0,blue,61,1,2
514,2,31,0,blue,61,2,2
514,2,32,0,pink,62,1,2
514,2,32,0,pink,62,2,1
514,3,0,1,pink,63,1,1
514,3,0,1,pink,63,2,2
514,3,1,0,pink,64,1,1
514,3,1,0,pink,64,2,1
514,3,2,0,pink,65,1,1
514,3,2,0,pink,65,2,2
514,3,3,0,pink,66,1,1
514,3,3,0,pink,66,2,2
514,3,4,0,pink,67,1,2
514,3,4,0,pink,67,2,1
514,3,5,1,pink,68,1,1
514,3,5,1,pink,68,2,1
514,3,6,1,blue,69,1,2
514,3,6,1,blue,69,2,1
514,3,7,0,pink,70,1,2
514,3,7,0,pink,70,2,2
514,3,9,0,pink,71,1,1
514,3,9,0,pink,71,2,2
514,3,10,0,blue,72,1,2
514,3,10,0,blue,72,2,2
514,3,11,1,pink,73,1,1
514,3,11,1,pink,73,2,2
514,3,12,1,blue,74,1,1
514,3,12,1,blue,74,2,1
514,3,13,0,blue,75,1,2
514,3,13,0,blue,75,2,1
514,3,14,0,pink,76,1,1
514,3,14,0,pink,76,2,2
514,3,15,1,pink,77,1,2
514,3,15,1,pink,77,2,2
514,3,16,1,pink,78,1,2
514,3,16,1,pink,78,2,2
514,3,17,1,blue,79,1,1
514,3,17,1,blue,79,2,2
514,3,18,0,blue,80,1,2
514,3,18,0,blue,80,2,1
514,3,19,1,blue,81,1,2
514,3,19,1,blue,81,2,1
514,3,20,1,blue,82,1,2
514,3,20,1,blue,82,2,2
514,3,21,0,pink,83,1,1
514,3,21,0,pink,83,2,2
514,3,22,1,blue,84,1,2
514,3,22,1,blue,84,2,2
514,3,23,0,pink,85,1,1
514,3,23,0,pink,85,2,2
514,3,26,1,pink,86,1,1
514,3,26,1,pink,86,2,1
514,3,28,0,blue,87,1,2
514,3,28,0,blue,87,2,1
514,3,29,1,pink,88,1,1
514,3,29,1,pink,88,2,1
514,3,30,0,pink,89,1,1
514,3,30,0,pink,89,2,2
514,3,31,1,blue,90,1,2
514,3,31,1,blue,90,2,2
514,3,32,1,blue,91,1,2
514,3,32,1,blue,91,2,2
562,1,1,0,pink,1,1,1
562,1,1,0,pink,1,2,2
562,1,2,1,blue,2,1,2
562,1,2,1,blue,2,2,1
562,1,4,1,blue,3,1,1
562,1,4,1,blue,3,2,1
562,1,5,1,blue,4,1,1
562,1,5,1,blue,4,2,2
562,1,6,0,pink,5,1,2
562,1,6,0,pink,5,2,1
562,1,7,0,pink,6,1,2
562,1,7,0,pink,6,2,1
562,1,8,0,pink,7,1,1
562,1,8,0,pink,7,2,2
562,1,9,1,blue,8,1,2
562,1,9,1,blue,8,2,1
562,1,10,0,blue,9,1,1
562,1,10,0,blue,9,2,1
562,1,11,1,pink,10,1,1
562,1,11,1,pink,10,2,1
562,1,12,1,pink,11,1,1
562,1,12,1,pink,11,2,1
562,1,13,1,pink,12,1,1
562,1,13,1,pink,12,2,2
562,1,14,0,blue,13,1,2
562,1,14,0,blue,13,2,1
562,1,15,0,pink,14,1,1
562,1,15,0,pink,14,2,1
562,1,16,1,pink,15,1,1
562,1,16,1,pink,15,2,2
562,1,17,0,pink,16,1,1
562,1,17,0,pink,16,2,2
562,1,18,0,pink,17,1,2
562,1,18,0,pink,17,2,2
562,1,19,0,pink,18,1,1
562,1,19,0,pink,18,2,1
562,1,20,0,blue,19,1,1
562,1,20,0,blue,19,2,1
562,1,21,0,pink,20,1,1
562,1,21,0,pink,20,2,1
562,1,22,1,pink,21,1,1
562,1,22,1,pink,21,2,2
562,1,23,1,blue,22,1,1
562,1,23,1,blue,22,2,2
562,1,24,0,pink,23,1,1
562,1,24,0,pink,23,2,1
562,1,25,0,blue,24,1,1
562,1,25,0,blue,24,2,1
562,1,26,1,pink,25,1,2
562,1,26,1,pink,25,2,1
562,1,27,1,pink,26,1,1
562,1,27,1,pink,26,2,2
562,1,28,0,blue,27,1,2
562,1,28,0,blue,27,2,2
